"filename", "language", "JSON", "Markdown", "SCSS", "JSON with Comments", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\menu\menu.component.html", "HTML", 0, 0, 0, 0, 0, 174, 0, 0, 7, 181
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\menu\menu.component.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 5, 13
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\tooltips\tooltips.component.html", "HTML", 0, 0, 0, 0, 0, 175, 0, 0, 7, 182
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\tooltips\tooltips.component.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 3, 4, 19
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\ui-components.module.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 2, 5, 40
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\ui-components.routing.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 1, 3, 37
"c:\Users\aymen\Desktop\main\src\app\services\nav.service.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 6, 20
"c:\Users\aymen\Desktop\main\src\assets\i18n\de.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\i18n\en.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\i18n\es.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\i18n\fr.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\images\backgrounds\login-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\aymen\Desktop\main\src\assets\images\logos\dark-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\images\logos\lol.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\aymen\Desktop\main\src\assets\images\svgs\facebook-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\aymen\Desktop\main\src\assets\images\svgs\google-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\aymen\Desktop\main\src\assets\scss\_container.scss", "SCSS", 0, 0, 68, 0, 0, 0, 0, 0, 18, 86
"c:\Users\aymen\Desktop\main\src\assets\scss\_variables.scss", "SCSS", 0, 0, 42, 0, 0, 0, 0, 8, 13, 63
"c:\Users\aymen\Desktop\main\src\assets\scss\grid\_grid.scss", "SCSS", 0, 0, 28, 0, 0, 0, 0, 0, 8, 36
"c:\Users\aymen\Desktop\main\src\assets\scss\grid\_mixins.scss", "SCSS", 0, 0, 63, 0, 0, 0, 0, 2, 15, 80
"c:\Users\aymen\Desktop\main\src\assets\scss\grid\_variables.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_border.scss", "SCSS", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_color.scss", "SCSS", 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_custom-flex.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_display.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_flexbox.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_functions.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 1, 3, 12
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_icon-size.scss", "SCSS", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_index.scss", "SCSS", 0, 0, 44, 0, 0, 0, 0, 2, 8, 54
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_rounded.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_spacing.scss", "SCSS", 0, 0, 121, 0, 0, 0, 0, 0, 3, 124
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_text.scss", "SCSS", 0, 0, 38, 0, 0, 0, 0, 0, 3, 41
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_variables.scss", "SCSS", 0, 0, 71, 0, 0, 0, 0, 6, 14, 91
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_header.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_layouts.scss", "SCSS", 0, 0, 2, 0, 0, 0, 0, 0, 3, 5
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_sidebar.scss", "SCSS", 0, 0, 65, 0, 0, 0, 0, 1, 11, 77
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_transitions.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 2, 4, 16
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_borderColor.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_buttons.scss", "SCSS", 0, 0, 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_card.scss", "SCSS", 0, 0, 34, 0, 0, 0, 0, 2, 8, 44
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_checkbox.scss", "SCSS", 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_drawer.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_form.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 1, 6, 30
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_list.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_materialoverrides.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_table.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_typography.scss", "SCSS", 0, 0, 55, 0, 0, 0, 0, 1, 9, 65
"c:\Users\aymen\Desktop\main\src\assets\scss\pages\_auth.scss", "SCSS", 0, 0, 65, 0, 0, 0, 0, 0, 8, 73
"c:\Users\aymen\Desktop\main\src\assets\scss\pages\_dashboards.scss", "SCSS", 0, 0, 105, 0, 0, 0, 0, 1, 8, 114
"c:\Users\aymen\Desktop\main\src\assets\scss\style.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 3, 8, 27
"c:\Users\aymen\Desktop\main\src\assets\scss\themecolors\_default_theme.scss", "SCSS", 0, 0, 56, 0, 0, 0, 0, 0, 5, 61
"c:\Users\aymen\Desktop\main\src\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\aymen\Desktop\main\src\main.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\aymen\Desktop\main\src\styles.scss", "SCSS", 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"c:\Users\aymen\Desktop\main\tsconfig.app.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\aymen\Desktop\main\tsconfig.json", "JSON with Comments", 0, 0, 0, 30, 0, 0, 0, 1, 1, 32
"c:\Users\aymen\Desktop\main\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 13282, 2, 2320, 30, 3439, 2035, 16, 602, 1598, 23324
